provincia,sick_elder,sick_infant
ALTO AMAZONAS,565,462
AMBO,1,0
AREQUIPA,0,0
ASCOPE,145,74
ATALAYA,72,75
AYABACA,24,3
BAGUA,220,166
BELLAVISTA,46,22
BONGARA,0,0
CAJAMARCA,0,0
CALCA,2,0
CALLAO,0,0
CANGALLO,0,0
CARABAYA,5,1
CARAVELI,0,0
CASMA,203,47
CAÑETE,0,2
CELENDIN,0,0
CHACHAPOYAS,2,2
CHANCHAMAYO,354,112
CHEPEN,155,61
CHICLAYO,623,193
CHINCHA,240,62
CHOTA,2,0
CONDORCANQUI,35,29
CONTRALMIRANTE VILLAR,130,99
CONTUMAZA,28,1
CORONEL PORTILLO,1349,1883
CUSCO,0,0
CUTERVO,13,4
DATEM DEL MARAÑON,50,42
DOS DE MAYO,0,0
EL DORADO,21,19
FERREÑAFE,162,14
GRAN CHIMU,2,0
HUACAYBAMBA,0,0
HUALGAYOC,0,0
HUALLAGA,34,5
HUAMALIES,9,5
HUAMANGA,0,2
HUANCABAMBA,14,2
HUANCAYO,0,1
HUANTA,135,88
HUANUCO,2,1
HUARAL,0,0
HUARAZ,0,0
HUARMEY,1,0
HUAROCHIRI,0,1
ICA,696,178
JAEN,575,374
JUNIN,0,0
LA CONVENCION,377,136
LA MAR,232,94
LAMAS,100,30
LAMBAYEQUE,302,103
LEONCIO PRADO,223,139
LIMA,197,73
LORETO,74,78
LUCANAS,0,0
MANU,31,32
MARAÑON,0,0
MARISCAL CACERES,105,136
MARISCAL NIETO,0,0
MARISCAL RAMON CASTILLA,34,41
MAYNAS,1995,4069
MORROPON,1114,281
MOYOBAMBA,104,21
NAZCA,101,96
OXAPAMPA,58,42
PACASMAYO,10,3
PACHITEA,0,1
PADRE ABAD,62,86
PAITA,188,43
PALLASCA,0,0
PALPA,126,40
PARINACOCHAS,0,0
PATAZ,13,5
PAUCAR DEL SARA SARA,1,0
PAUCARTAMBO,1,1
PICOTA,34,20
PISCO,101,40
PIURA,4009,1112
PUERTO INCA,51,9
PURUS,0,0
PUTUMAYO,17,16
QUISPICANCHI,11,1
REQUENA,97,31
RIOJA,75,27
RODRIGUEZ DE MENDOZA,0,0
SAN IGNACIO,64,22
SAN MARTIN,266,291
SAN MIGUEL,0,0
SANCHEZ CARRION,0,0
SANDIA,1,0
SANTA,211,30
SANTA CRUZ,0,0
SATIPO,211,114
SECHURA,181,51
SUCRE,1,0
SULLANA,1608,707
TAHUAMANU,119,42
TALARA,633,275
TAMBOPATA,847,858
TOCACHE,108,72
TRUJILLO,755,294
TUMBES,950,402
UCAYALI,141,166
UTCUBAMBA,161,122
VIRU,26,6
ZARUMILLA,254,143
\N,18,10
